imdb_id,title,release_year,runtime_minutes,genres,budget,revenue,ROI,imdb_rating,imdb_vote_count,original_language,production_companies,popularity,rec_director,rec_writer,star_power,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,historical_genre_roi,historical_director_roi,historical_writer_roi
tt6133466,The First Purge,2018,97.0,"Action,Horror,Sci-Fi",13000000,137056262,9.542789384615384,5.2,79009.0,en,"Platinum Dunes, Blumhouse Productions, Universal Pictures",43.837,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6.163946354721535,,11.1476365
tt6155172,Roma,2018,135.0,Drama,15000000,1140769,-0.9239487333333334,7.6,179520.0,es,"Participant, Esperanto Filmoj",10.591,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.538897695718708,,
tt6182908,Smallfoot,2018,96.0,"Adventure,Animation,Comedy",80000000,214115531,1.6764441375,6.6,46174.0,en,"Warner Bros. Pictures Animation, Warner Bros. Pictures, Zaftig Films",13.65,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148882918318995,,1.3997013254132762
tt6205872,Assassination Nation,2018,108.0,"Comedy,Horror,Thriller",7000000,2900000,-0.5857142857142857,6.0,23602.0,en,"Bron Studios, Phantom Four, Creative Wealth Media Finance, Foxtail Entertainment",12.799,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.81627694551496,,
tt6212478,American Animals,2018,116.0,"Biography,Crime,Drama",3000000,2847319,-0.0508936666666666,7.0,53651.0,en,"Film4 Productions, RAW, Lava Bear Films, Suburban Tallyho Productions, AI Film, Reliance Entertainment",8.686,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3261448450858295,,1.192114663095238
tt6217724,Axing,2018,91.0,Drama,10000,10000,0.0,5.7,1038.0,fa,Simaye Mehr,0.6,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.538897695718708,,
tt6237562,Rabbit,2018,88.0,"Comedy,Drama,Fantasy",10000,10000,0.0,4.3,633.0,fa,,0.688,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2703364014795464,,
tt6251024,Office Uprising,2018,92.0,"Action,Comedy,Fantasy",2500000,165623,-0.9337508,5.6,17701.0,en,"Mind the GAP Productions, Lydiard Films, Rumble Riot Pictures",8.833,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8748579787917783,,
tt6257174,The Miseducation of Cameron Post,2018,91.0,"Comedy,Drama",900000,2019874,1.2443044444444444,6.6,27850.0,en,"Beachside Films, Parkville Pictures",13.326,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81447198761099,,
tt6266538,Vice,2018,132.0,"Biography,Comedy,Drama",60000000,76073488,0.2678914666666667,7.2,176379.0,en,"Plan B Entertainment, Gary Sanchez Productions, Annapurna Pictures",10.687,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221489470454079,3.762375214285714,2.8507896541208795
tt6306064,Adrift,2018,96.0,"Action,Adventure,Biography",35000000,59945012,0.7127146285714285,6.6,66566.0,en,"STX Films, RVK Studios, Lakeshore Entertainment, Huayi Brothers Pictures",16.709,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2497329485952418,2.698683345454545,
tt6343314,Creed II,2018,130.0,"Action,Drama,Sport",50000000,214215889,3.28431778,7.1,173630.0,en,"Metro-Goldwyn-Mayer, New Line Cinema, Chartoff-Winkler Productions",45.172,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5630991637123883,,4.111091807771746
